,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,supplier,product_id,category,sub_category,product_name,returned,sales,quantity,discount,profit,delivery_delay_days,late_delivery
18,19,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-AR-10003056,Office Supplies,Art,Newell 341,Yes,8.56,2,0.0,2.4824,0,No
19,20,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,Yes,213.48,3,0.2,16.011,0,No
20,21,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",Yes,22.72,4,0.2,7.384,0,No
21,22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AR-10000246,Office Supplies,Art,Newell 318,Not,19.46,7,0.0,5.0596,92,Yes
22,23,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Not,60.34,7,0.0,15.6884,92,Yes
23,24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",Not,71.372,2,0.3,-1.0196,2,No
24,25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Anna Andreadi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Not,1044.63,3,0.0,240.2649,5,No
25,26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Anna Andreadi,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,Not,11.648,2,0.2,4.2224,4,No
26,27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Anna Andreadi,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Not,90.57,3,0.0,11.7741,4,No
27,28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Not,3083.43,7,0.5,-1665.0522,4,No
28,29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Not,9.618,2,0.7,-7.0532,4,No
29,30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Not,124.2,3,0.2,15.525,4,No
30,31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,Not,3.264,2,0.2,1.1016,4,No
31,32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Not,86.304,6,0.2,9.7092,4,No
32,33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Not,6.858,6,0.7,-5.715,4,No
33,34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,Not,15.76,2,0.2,3.546,4,No
34,35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Kelly Williams,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,Not,29.472,3,0.2,9.9468,4,No
35,36,CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Kelly Williams,TEC-PH-10004977,Technology,Phones,GE 30524EE4,Not,1097.544,7,0.2,123.4737,61,Yes
36,37,CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Kelly Williams,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Not,190.92,5,0.6,-147.963,61,Yes
37,38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Not,113.328,9,0.2,35.415,4,No
38,39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,532.3992,3,0.32,-46.9764,4,No
39,40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Not,212.058,3,0.3,-15.147,4,No
40,41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,Not,371.168,4,0.2,41.7564,4,No
41,42,CA-2017-120999,2017-10-09,2017-10-09,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Kelly Williams,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,Not,147.168,4,0.2,16.5564,0,No
42,43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Anna Andreadi,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",Not,77.88,2,0.0,3.894,5,No
43,44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Cassandra Brandow,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Not,95.616,2,0.2,9.5616,4,No
44,45,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Kelly Williams,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Not,45.98,2,0.0,19.7714,0,No
45,46,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Kelly Williams,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Not,17.46,2,0.0,8.2062,0,No
46,47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Kelly Williams,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Not,211.96,4,0.0,8.4784,5,No
47,48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Not,45.0,3,0.0,4.95,5,No
48,49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Not,21.8,2,0.0,6.104,5,No
49,50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Not,38.22,6,0.0,17.9634,4,No
50,51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-LA-10002762,Office Supplies,Labels,Avery 485,Not,75.18,6,0.0,35.3346,4,No
51,52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,Not,6.16,2,0.0,2.9568,4,No
52,53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",Not,89.99,1,0.0,17.0981,4,No
53,54,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,Not,15.26,7,0.0,6.2566,35,Yes
54,55,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,Not,1029.95,5,0.0,298.6855,35,Yes
55,56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,Yes,208.56,6,0.0,52.14,1,No
56,57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,Yes,32.4,5,0.0,15.552,1,No
57,58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,Yes,319.41,5,0.1,7.098,1,No
58,59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",Yes,14.56,2,0.0,6.9888,1,No
59,60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Yes,30.0,2,0.0,3.3,1,No
60,61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,Yes,48.48,4,0.2,16.362,1,No
61,62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,Yes,1.68,1,0.0,0.84,1,No
62,63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Not,13.98,2,0.0,6.1512,6,No
63,64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Not,25.824,6,0.2,9.3612,6,No
64,65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,Not,146.73,3,0.0,68.9631,6,No
65,66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Not,79.76,4,0.0,22.3328,6,No
66,67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Kelly Williams,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Not,213.115,5,0.3,-15.2225,5,No
67,68,CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Not,1113.024,8,0.2,111.3024,153,Yes
68,69,CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,Not,167.968,4,0.2,62.988,153,Yes
69,70,CA-2016-119823,2016-04-06,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Cassandra Brandow,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Not,75.88,2,0.0,35.6636,61,Yes
70,71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Chuck Magee,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Not,4.616,1,0.2,1.731,5,No
71,72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Kelly Williams,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Not,19.05,3,0.0,8.763,3,No
72,73,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,Not,831.936,8,0.2,-114.3912,0,No
73,74,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Not,97.04,2,0.2,1.213,0,No
74,75,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,Not,72.784,1,0.2,-18.196,0,No
75,76,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,Not,1.248,3,0.8,-1.9344,61,Yes
76,77,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",Not,9.708,3,0.6,-5.8248,61,Yes
77,78,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Not,27.24,3,0.2,2.724,61,Yes
78,79,US-2014-147606,2014-11-26,2014-11-26,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Kelly Williams,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Not,19.3,5,0.6,-14.475,0,No
79,80,CA-2016-127208,2016-12-06,2016-12-06,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Cassandra Brandow,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Not,208.16,1,0.0,56.2032,0,No
80,81,CA-2016-127208,2016-12-06,2016-12-06,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Cassandra Brandow,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,Not,16.74,3,0.0,8.0352,0,No
81,82,CA-2014-139451,2014-12-10,2014-12-10,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Anna Andreadi,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Not,14.9,5,0.0,4.172,0,No
82,83,CA-2014-139451,2014-12-10,2014-12-10,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Anna Andreadi,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",Not,21.39,1,0.0,6.2031,0,No
83,84,CA-2015-149734,2015-03-09,2015-08-09,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Cassandra Brandow,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Not,200.984,7,0.2,62.8075,153,Yes
84,85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Kelly Williams,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,Not,230.376,3,0.2,-48.9549,3,No
85,86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Cassandra Brandow,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,Not,301.96,2,0.0,33.2156,2,No
86,87,CA-2017-155558,2017-10-26,2017-10-26,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Kelly Williams,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Not,19.99,1,0.0,6.7966,0,No
87,88,CA-2017-155558,2017-10-26,2017-10-26,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Kelly Williams,OFF-LA-10000134,Office Supplies,Labels,Avery 511,Not,6.16,2,0.0,2.9568,0,No
88,89,CA-2016-159695,2016-05-04,2016-10-04,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Kelly Williams,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,Not,158.368,7,0.2,13.8572,153,Yes
89,90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,Yes,20.1,3,0.0,6.633,5,No
90,91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,Yes,73.584,2,0.2,8.2782,5,No
91,92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,Yes,6.48,1,0.0,3.1104,5,No
92,93,CA-2015-149587,2015-01-31,2015-05-02,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Kelly Williams,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,Not,12.96,2,0.0,6.2208,91,Yes
93,94,CA-2015-149587,2015-01-31,2015-05-02,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Kelly Williams,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",Not,53.34,3,0.0,16.5354,91,Yes
